"PARTTYPE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","LIBFIELD1","LIBFIELD2","LIBFIELD3","LIBFIELD4","LIBFIELD5","LIBFIELD6","LIBFIELD7","LIBFIELD8","SHEET_PART","DFT_DES","DESCR"
"LVDS_XO","","","","","","","","","","","","","","U?","",
"ICS85408","","","","","","","","","","","","","","","",
"NCV8570","","","","","","","","","","","","","","","",
"HMC208AMS8","","","","","","","","","","","","","","","",
"ADT4-1WT","","","","","","","","","","","","","","T?","",
"AD9648","","","","","","","","","","","","","","","",
"BNX022","","","","","","","","","","","","","","L?","",
"GE-612T","","","","","","","","","","","","","","","",
"AOCJY3","","","","","","","","","","","","","","","",
"AD9117","","","","","","","","","","","","","","","",
"AD7961","","","","","","","","","","","","","","","",
"LTC2141-14","","","","","","","","","","","","","","","",
"SKY12343-364LF","","","","","","","","","","","","","","","",
"MAX1421","","","","","","","","","","","","","","","",
"AP2114HA-1.2","","","","","","","","","","","","","","","",
"93C46","","","","","","","","","","","","","","","",
"SN74AVC16T245-Q1","","","","","","","","","","","","","","U?","",
"HMC934","","","","","","","","","","","","","","U?","",
"MC100EP21","","","","","","","","","","","","","","U?","",
"EPCS64","","","","","","","","","","","","","","U?","",
"ATSAM3X8EA-AU","","","","","","","","","","","","","","U?","",
"HFA3101","","","","","","","","","","","","","","U?","",
"LTC1746","","","","","","","","","","","","","","","",
"AD9245","","","","","","","","","","","","","","","",
"MGA-81563","","","","","","","","","","","","","","U?","",
"MC100EL58","","","","","","","","","","","","","","U?","",
"VASD1-S12-D5-SIP","","","","","","","","","","","","","","U?","",
"LM2611","","","","","","","","","","","","","","U?","",
"FT2232H","","","","","","","","","","","","","","","",
"AD8099","","","","","","","","","","","","","","U?","",
"ADF4530","","","","","","","","","","","","","","","",
"SOLDER_JUMPER","","","","","","","","","","","","","","","",
"SAW_FIL","","","","","","","","","","","","","","","",
"AD1584","","","","","","","","","","","","","","","",
"AD8031","","","","","","","","","","","","","","","",
"SY10EP52","","","","","","","","","","","","","","","",
"HDMI","","","","","","","","","","","","","","CN?","",
"EP4CE22E22C7N","","","","","","","","","","","","","","U?","",
"AD9460(CMOS MODE)","TQFP100","","","","","","","","","","","","","U?","16-Bit, 80 MSPS/105 MSPS ADC CMOS_MODE(AD)",
